,app_id,user_name,score,content,Polarity
0,com.prime.on,L1ndzzz,5,"The app works as described, simple on and off control of all my devices and automatic timers! There was an issue with the timer that was quickly resolved for me by removing and re-adding each plug. Need to pick some more up!",0.3194444444444444
1,com.prime.on,BigMrkSpclK,5,"Love this utility. Best purchase i ever made recently. However, i suggest in the next update: iPhone Siri functionality: “Hey Siri, turn my plug off/on”",0.375
2,com.prime.on,Wanderlust2525,2,"Purchased two of the outlet controllers recently. I have not tried the devices yet.  Loaded the app and, for grins, decided to actually read the privacy policy.  The pop up dialog box said ‘prime pays high attention to ‘our’ personal information and applicable laws....’. Too bad there was no policy to read. Kind of feeling like I am being coerced into agreeing to a privacy policy I cannot read as I want the functionality of the controlled outlet. So, listening to the advice I would give my 10 year old son about dubious websites and cyber security, I will be returning the boxes. Come on Pirme, you have to do better!And, PS, you paying ‘high attention’ just sounds sleazy.",0.04000000000000002
3,com.prime.on,rappapd,5,This was the first  wifi plug that I bought . It works great and so simple to use.,0.35000000000000003
4,com.prime.on,Mabellboi,3,Of course you only support Alexa and Google home.WHAT ABOUT HOMEKIT???,0.0
5,com.prime.on,sukia45,1,Download older version and this new version either work with iOS 13.2,0.1515151515151515
6,com.prime.on,Just an Old Fart,2,x,0.0
7,com.prime.on,EyeGuy69,1,Need help or this smart plug just doesn’t know how to pair with my phone,0.21428571428571427
8,com.prime.on,jzgr8,1,"Worked for about 5 months and then the power went out and I lost connection. Upon multiple attempts to reconnect the receptacle, it FAILED to connect. I’ve tried deleting the app reloading and reconnecting. I’ve reset my phone. I’ve tried resetting the device and reconnecting to no avail. I’ve tried unplugging the device…waiting... then plugging back in. Nothing works. Maybe I’m missing something… P.S. Prime Wire-reach out to me if you have a solution.",-0.175
9,com.kinetic.fit,Scopeguru,5,"I do not have a Peloton bike, so syncing my rides with Peloton app (on iPad) to Strava has been a problem thus far. By syncing my IC4 bike and heart rate monitor simultaneously to Kinetic and Peloton apps allows me to enjoy the Peloton classes, and sync my workout to Strava seamlessly. I can see my HR, and cadence on both apps, but the Kinetic app allows me to see a lot of other readings during the workout! The Kinetic app also comes with quite a lot fun workouts and classes, many of them free of charge. What an awesome app that is easy to use, and one that solves a major syncing gap between apps. I cannot recommend Kinetic highly enough.",0.28541666666666665
10,com.kinetic.fit,Begotus,2,"I like the idea of the app. You can integrate biking stats with heart rate. There are several individual workouts to choose from as well as workout programs. The problem is, once I started a program, I could not do any of the other workouts. I also can only do the program workout on the planned day - not before or after. There’s a great FTP test at the beginning. However, I didn’t feel great, quit early and now I can’t retest it. When you’re in a workout, there’s a window that pops up for maybe two seconds to show your targets for that interval. Better be staring at your phone and read quickly, otherwise you’ll have no idea what you targets are. There’s a small chart at the bottom that shows three lines (best guess is power, cadence and speed). It only show next 30 seconds. No idea how long the total workout is or what to expect next beyond the 30 sec.Update: I figured out how to select other workouts within chosen program either ahead or behind current date. It’s not easy or intuitive but it’s there.",0.11833333333333336
11,com.kinetic.fit,Drannieatl,1,"I have been using fitness trainers for over 15 years, and this kinetic smart trainer app is amongst the worst I’ve ever seen. They clearly are not focusing on updating the app to fix various bugs, such as the fact that calibration is a massive problem for many of their users. The interface itself is non-intuitive, with confusing messages to use simple functions like calibration, and syncing. When you read support messages around many of the issues, they essentially blame the user. While their early, non-smart versions of their trainer were good, they have simply not kept up with the times. They’ve been playing catch-up for 5+ years. instead of fixing issues or even getting ahead of the curve, they are hanging on for dear life and hoping to keep enough loyal users to keep revenues steady and eventually get bought by a bigger fish. Do yourself a favor and just go with the bigger fish in the first place.",0.07821428571428571
12,com.kinetic.fit,DAmick00,5,"I bought my kinetic fluid trainer and got the app about one month ago. I thought instructions were rather vague regarding how to connect to a power source, but once I figured out what I had to do, and replaced the original battery in the blue tooth sensor, this app has been phenomenal. I love using it, and love that I opted for my Specialized Bicycle + Trainer instead of going a more expensive route like a Peloton. Love, and recommend this app!",0.2
